fieldofstudy_id,count  
115903868,270
529173508,222
79403827,179
180152950,158
120314980,157
149091818,147
73752529,145
35869016,137
120936955,111
63540848,106
117447612,101
174683762,101
82214349,88
26217847,78
180198813,72
168773769,69
149635348,56
5119721,56
24590314,55
6604083,53
527648132,52
35578498,51
135802936,51
77088390,50
75606506,49
111919701,48
8797682,45
101317890,45
43126263,45
186311912,44
52913732,44
133462117,42
38677869,42
3073032,42
199360897,39
14185376,39
8880873,39
76956256,39
57041688,38
113200698,38
144543869,37
145644426,37
50644808,37
116253237,33
124101348,33
185016892,33
187123476,33
207850805,33
139330139,32
515549039,30
110963975,29
202105479,29
89505385,28
89567784,28
118463975,28
12269588,28
105446022,27
178489894,27
85345410,26
152880691,26
150817343,25
84511453,25
139968098,25
78597825,25
40919944,25
9765861,25
151223460,25
489000,24
45804977,24
31352089,24
50369083,23
152745839,23
79974875,23
108215451,23
14896104,23
102780508,23
53073257,23
172195944,23
186967261,22
23123220,22
59488412,22
14501506,22
77405623,22
191644765,22
162319229,22
84875433,22
60051680,22
108801101,21
110251889,21
121017731,21
93983250,21
54534927,21
44154836,21
41008148,20
198783460,20
73555534,20
126255220,20
64367405,20
175801342,20
32896092,20
