num_inspected_publications,num_citations
0,0
12,11
32,12
37,12
120,16
129,18
274,18
276,18
339,22
340,22
342,22
343,22
344,22
345,22
346,22
404,24
405,24
406,24
449,25
450,25
463,28
468,28
482,28
484,28
489,28
516,28
519,28
541,36
542,36
543,36
558,36
562,36
566,36
570,36
578,36
583,36
596,36
974,44
4665,58
14017,152
17614,208
18952,211
19282,213
21371,239
21857,243
22208,243
22933,243
23298,243
25531,243
26084,243
26566,243
27289,250
27839,251
28724,270
30163,271
