num_inspected_publications,num_citations
0,0
35,23
48,26
65,35
115,37
219,37
256,39
327,43
336,44
345,46
381,53
474,53
486,55
496,55
506,56
515,57
518,57
532,57
539,59
542,59
570,61
610,61
748,61
751,61
756,61
794,62
813,62
816,62
821,62
840,62
846,62
850,62
851,62
856,62
857,62
858,62
891,62
892,62
909,62
910,62
1321,62
1324,62
1327,63
1329,64
1489,64
1495,64
1603,64
1610,64
1622,65
1626,65
1628,65
1629,65
1632,65
1643,65
1666,65
1667,65
1902,66
1961,66
1968,66
1980,66
1983,66
1992,66
1995,66
1996,66
2006,68
2008,68
2123,68
2181,68
2188,68
2228,68
2237,68
2246,68
2247,68
2251,71
2253,71
2262,71
2279,71
2282,71
2284,71
2287,71
2289,71
2292,71
2324,71
