num_inspected_publications,num_citations
0,0
48,6
89,6
107,6
115,8
144,8
161,8
167,9
180,9
245,13
491,15
516,15
536,15
756,16
901,19
922,22
1012,22
1036,22
1041,22
1053,22
1278,22
1351,22
1384,22
1409,22
1557,22
1562,22
1609,22
1751,23
1753,23
1755,23
1757,23
2279,23
2310,23
2341,23
2343,23
2346,23
2351,23
2352,23
2485,23
2510,24
2514,24
2577,24
2580,24
2605,24
2725,24
2749,24
2751,24
2782,24
2788,24
2812,25
2835,25
2858,25
2869,25
2873,25
2885,25
3459,25
3460,25
3485,25
3486,25
3488,25
3496,25
3509,25
3520,25
3550,25
3615,25
3658,25
4672,25
4673,25
4695,25
4734,25
4740,28
4779,28
5111,28
5121,28
5154,28
5162,28
5618,28
5620,28
5622,28
5623,28
5641,28
5666,28
5689,28
5777,28
5819,33
5952,38
5986,38
6142,38
6665,38
6669,38
6686,38
6695,38
6715,38
6883,38
6892,38
7024,38
7034,38
7046,38
7049,38
7061,38
7083,38
7084,38
7271,38
7281,38
7389,38
7422,38
7625,38
7765,38
7827,38
7984,38
8013,38
8662,38
8664,38
8669,38
8672,38
8706,38
8788,38
8808,38
9089,38
9133,38
9145,38
9146,38
9154,38
9155,38
9175,38
9181,38
9183,38
9186,38
9581,38
9585,38
9693,38
9706,38
9707,38
9876,38
9879,38
9898,38
10724,38
10730,38
11194,38
11195,38
11402,38
11447,38
11459,38
11479,38
11494,38
11495,38
11616,38
11619,38
11686,38
11838,38
11844,38
11895,38
12001,38
12002,38
12154,38
12741,38
12742,38
12853,38
12919,38
12921,38
13000,38
13001,38
13020,38
13122,38
13123,38
13125,38
13142,38
13147,38
13160,38
13350,38
13383,38
13481,38
13486,38
13490,38
13498,39
13520,39
13602,39
14249,39
14399,39
14402,39
14404,39
14408,39
14498,39
14506,39
14507,39
14508,39
14516,39
14568,39
14575,39
14577,39
14605,39
14629,39
14630,39
14732,39
14875,39
14876,39
14883,39
14970,39
15002,39
15021,39
15056,39
15057,39
15067,39
15088,39
15104,39
15340,39
15341,39
15399,39
15400,39
15417,39
15428,39
16138,39
16201,39
16203,39
16207,39
16962,41
16969,41
17004,41
17012,41
17123,41
17965,41
18042,41
18048,41
18126,41
18156,41
18213,41
18222,41
18334,41
18339,41
18343,41
18344,41
18347,41
18351,41
18370,41
18371,41
18381,41
18382,41
18387,41
19050,41
19058,41
19059,41
19070,41
19079,41
19175,41
19241,41
19261,41
19317,41
19345,41
19351,41
19354,41
19373,41
19968,41
19991,41
20172,41
