num_inspected_publications,num_citations
0,0
45,107
320,225
424,263
518,273
565,273
810,284
827,284
862,284
903,284
922,287
947,289
1001,295
1058,300
1100,301
1114,301
1224,302
2033,312
2054,312
2072,313
2095,315
2156,315
2165,315
2182,315
2275,318
2418,330
2471,331
2480,331
2528,331
2602,332
2614,332
2653,332
2676,332
2699,332
2715,333
2750,333
2950,337
3012,337
3016,337
3095,339
3103,339
3114,339
3134,340
3200,340
3381,341
3578,342
3632,345
3640,345
3650,345
3665,345
3678,345
3692,345
3711,345
3744,345
3750,345
3911,346
3917,346
4082,347
4089,347
4107,348
4111,348
4115,348
4136,348
4145,348
4151,348
4240,348
4248,348
4259,348
4275,350
4278,350
4286,350
4292,350
4304,350
4310,350
4312,350
4413,350
4439,352
4442,352
4468,352
4475,354
4491,356
4511,356
4602,356
4621,356
4702,362
4712,362
4754,362
4797,362
4874,362
4877,362
4879,362
4943,362
4949,362
4957,362
4983,362
5097,364
5177,364
5324,378
5330,378
5340,378
5416,379
5417,379
5429,379
5440,379
5470,380
5490,380
5578,389
5642,389
5646,389
5682,389
5687,389
5817,390
5829,391
5834,391
5874,392
5897,392
5913,392
5916,392
5967,392
6061,392
6097,392
6129,393
6133,393
6144,393
6150,393
6155,393
6161,393
6320,393
6324,393
6332,393
6418,393
6424,396
6436,397
6448,397
6452,397
6515,398
6523,398
6543,398
6597,398
6633,399
6771,403
6943,403
7026,405
7202,405
7209,405
7264,405
7424,407
7437,407
7481,409
7615,412
7616,412
7620,412
7628,412
7633,413
7646,413
7647,413
7693,416
7694,416
7772,417
7785,417
7918,417
7981,417
8048,419
8106,419
8116,419
8178,419
8193,419
8409,420
8416,420
8421,420
8438,423
8445,423
8449,423
8468,423
8749,425
8808,425
8822,426
8837,427
8853,427
8906,427
8924,427
8948,427
8959,427
9100,433
9117,434
9191,435
9274,436
9277,436
9293,436
9303,436
9309,436
9593,440
11256,440
11270,440
11272,440
11276,440
11313,442
11318,442
11321,442
11324,442
11326,442
11332,442
11391,443
11408,445
11428,447
11475,447
11479,447
11499,447
11512,447
11540,447
11543,447
11545,447
11569,447
11640,447
11659,447
11664,447
11709,447
11746,447
11751,447
11929,447
11933,447
11940,447
11944,447
12010,447
12034,447
12071,447
12077,447
12115,447
12120,447
12136,447
12205,448
12265,448
12296,450
12303,450
12323,450
12333,451
12355,452
12381,452
12439,452
12471,452
12493,452
12496,452
12623,452
12626,452
12689,455
12690,455
12752,455
12772,455
12792,457
