num_inspected_publications,num_citations
0,0
652,0
748,0
763,0
826,0
1061,0
1596,0
1757,0
1759,0
7081,0
7249,0
7258,0
7278,0
8507,0
8509,0
8530,0
8532,0
8973,0
8987,0
8991,0
9037,0
25789,0
27773,1
28344,1
28541,1
28543,1
32335,1
44225,1
44859,1
44861,1
46384,1
47013,1
47060,1
47152,1
48565,1
50071,1
50330,1
50411,1
63105,1
67239,1
67278,1
71727,1
72096,1
72110,1
72112,1
72114,1
72116,1
72118,1
72120,1
72124,1
72125,1
72127,1
72128,1
72131,1
72132,1
72133,1
72134,1
72136,1
72138,1
72139,1
72140,1
72141,1
72142,1
72148,2
72149,2
72150,2
72151,2
72155,2
72156,2
72158,2
72159,2
72160,2
72166,2
72186,2
72189,2
72195,2
72197,2
72202,2
