num_inspected_publications,num_citations
0,0
2697,25
87091,28
87652,39
89485,50
90127,56
93132,58
97590,61
103712,74
106480,78
107981,88
109633,91
110608,100
114747,107
115891,109
117602,114
119162,114
122239,123
125886,125
127850,125
132421,125
136891,126
138413,128
139381,131
140345,132
268347,148
277119,148
281599,150
286395,151
292966,152
299022,152
303468,155
305055,165
310901,165
311552,167
322906,170
330634,179
333735,189
336051,192
340423,193
342460,193
345114,199
346209,206
346885,210
