num_inspected_publications,num_citations
0,0
73329,307
80012,747
97645,935
120305,1216
121511,1392
133223,1393
138335,1641
170934,1735
180876,1926
190514,2186
210920,2186
231091,2361
248945,2470
251144,2626
260492,2691
271131,2947
272238,2985
273455,2990
302773,3027
346485,3211
348313,3214
357310,3261
369974,3263
382944,3283
393907,3302
398766,3324
413507,3334
424124,3336
425312,3404
427759,3404
428574,3495
435609,3553
436870,3557
439641,3616
456584,3631
457945,3639
458318,3701
478864,3744
483845,3769
484281,3769
487537,3773
499050,3775
507477,3815
549833,3875
550739,3934
557447,3934
559732,3962
561456,3962
568089,3972
673194,3988
