num_inspected_publications,num_citations
0,0
1206,176
12918,177
15117,333
57473,393
64106,403
76770,405
77585,496
78692,534
79065,596
122777,780
142948,955
149983,1013
160946,1032
183606,1313
204012,1313
309117,1329
319734,1331
322181,1331
324952,1390
325388,1390
327216,1393
332328,1641
343841,1643
348822,1668
361792,1688
379646,1797
386329,2237
396968,2493
429567,2587
439509,2778
444368,2800
462001,2988
463218,2993
464124,3052
465385,3056
485931,3099
487655,3099
488843,3167
492099,3171
494384,3199
495745,3207
504172,3247
533490,3284
606819,3591
613527,3591
622524,3638
639467,3653
648815,3718
658453,3978
673194,3988
