[2016-03-03 11:24:00,083: INFO/MainProcess] Received task: scholarly_citation_finder.api.citation.tasks.evaluation_run[1a5a660d-9912-4db8-8113-294ae3767aa5]
[2016-03-03 11:24:01,093: INFO/Worker-2] 1827493828 author: set 12 publications
[2016-03-03 11:24:01,689: INFO/Worker-2] found 19 author in the search set
[2016-03-03 11:24:01,689: INFO/Worker-2] authors: 19
[2016-03-03 11:24:34,340: INFO/MainProcess] Received task: scholarly_citation_finder.api.citation.tasks.evaluation_run[ea9fdf9c-d844-41f8-9bd2-3dddec01dd82]
[2016-03-03 11:26:50,795: INFO/Worker-2] 1827493828: finished strategy "author-ordered"
[2016-03-03 11:26:50,835: INFO/Worker-2] found 19 author in the search set
[2016-03-03 11:26:50,835: INFO/Worker-2] authors: 19
[2016-03-03 11:26:51,058: INFO/Worker-2] 1827493828: finished strategy "author-ordered-minyear"
[2016-03-03 11:26:51,060: INFO/Worker-2] found 7 journals in search set
[2016-03-03 11:27:06,253: INFO/Worker-2] 1827493828: finished strategy "journal-ordered"
[2016-03-03 11:27:06,254: INFO/Worker-2] found 7 journals in search set
[2016-03-03 11:27:06,844: INFO/Worker-2] 1827493828: finished strategy "journal-ordered-minyear"
[2016-03-03 11:27:06,846: INFO/Worker-2] found 0 conferences in search set
[2016-03-03 11:27:06,846: INFO/Worker-2] 1827493828: finished strategy "conference-ordered"
[2016-03-03 11:27:06,847: INFO/Worker-2] found 0 conferences in search set
[2016-03-03 11:27:06,847: INFO/Worker-2] 1827493828: finished strategy "conference-ordered-minyear"
[2016-03-03 11:27:06,848: INFO/Worker-2] found 19 author in the search set
[2016-03-03 11:27:06,848: INFO/Worker-2] authors: 19
[2016-03-03 11:27:07,225: INFO/Worker-2] authors: 17
[2016-03-03 11:27:36,166: INFO/Worker-2] found 18 journals in search set
[2016-03-03 11:27:38,594: INFO/Worker-2] found 0 conferences in search set
[2016-03-03 11:27:38,595: INFO/Worker-2] 1827493828: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-03 11:27:43,617: INFO/Worker-2] 136702084 author: set 234 publications
[2016-03-03 11:28:00,280: INFO/Worker-2] found 789 author in the search set
[2016-03-03 11:28:00,280: INFO/Worker-2] authors: 789
[2016-03-03 13:47:18,941: INFO/Worker-2] 136702084: finished strategy "author-ordered"
[2016-03-03 13:47:36,069: INFO/Worker-2] found 789 author in the search set
[2016-03-03 13:47:36,069: INFO/Worker-2] authors: 789
[2016-03-03 15:44:14,610: INFO/Worker-2] 136702084: finished strategy "author-ordered-minyear"
[2016-03-03 15:44:14,835: INFO/Worker-2] found 50 journals in search set
[2016-03-03 15:47:41,273: INFO/Worker-2] 136702084: finished strategy "journal-ordered"
[2016-03-03 15:47:41,297: INFO/Worker-2] found 50 journals in search set
[2016-03-03 15:48:03,606: INFO/Worker-2] 136702084: finished strategy "journal-ordered-minyear"
[2016-03-03 15:48:03,631: INFO/Worker-2] found 1 conferences in search set
[2016-03-03 15:48:04,537: INFO/Worker-2] 136702084: finished strategy "conference-ordered"
[2016-03-03 15:48:04,552: INFO/Worker-2] found 1 conferences in search set
[2016-03-03 15:48:04,599: INFO/Worker-2] 136702084: finished strategy "conference-ordered-minyear"
[2016-03-03 15:48:17,888: INFO/Worker-2] found 789 author in the search set
[2016-03-03 15:48:17,888: INFO/Worker-2] authors: 789
[2016-03-03 17:37:33,812: INFO/Worker-2] authors: 2078
[2016-03-04 04:15:15,169: INFO/Worker-2] found 247 journals in search set
[2016-03-04 04:21:19,690: INFO/Worker-2] found 3 conferences in search set
[2016-03-04 04:21:20,168: INFO/Worker-2] 136702084: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 04:21:21,265: INFO/Worker-2] 1788919128 author: set 29 publications
[2016-03-04 04:21:22,236: INFO/Worker-2] found 34 author in the search set
[2016-03-04 04:21:22,236: INFO/Worker-2] authors: 34
[2016-03-04 04:22:43,458: INFO/Worker-2] 1788919128: finished strategy "author-ordered"
[2016-03-04 04:22:43,479: INFO/Worker-2] found 34 author in the search set
[2016-03-04 04:22:43,479: INFO/Worker-2] authors: 34
[2016-03-04 04:22:43,691: INFO/Worker-2] 1788919128: finished strategy "author-ordered-minyear"
[2016-03-04 04:22:43,701: INFO/Worker-2] found 0 journals in search set
[2016-03-04 04:22:43,701: INFO/Worker-2] 1788919128: finished strategy "journal-ordered"
[2016-03-04 04:22:43,701: INFO/Worker-2] found 0 journals in search set
[2016-03-04 04:22:43,702: INFO/Worker-2] 1788919128: finished strategy "journal-ordered-minyear"
[2016-03-04 04:22:43,702: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 04:22:43,702: INFO/Worker-2] 1788919128: finished strategy "conference-ordered"
[2016-03-04 04:22:43,703: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 04:22:43,703: INFO/Worker-2] 1788919128: finished strategy "conference-ordered-minyear"
[2016-03-04 04:22:43,705: INFO/Worker-2] found 34 author in the search set
[2016-03-04 04:22:43,705: INFO/Worker-2] authors: 34
[2016-03-04 04:22:43,955: INFO/Worker-2] authors: 5
[2016-03-04 04:22:55,730: INFO/Worker-2] found 1 journals in search set
[2016-03-04 04:22:56,653: INFO/Worker-2] found 0 conferences in search set
