author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,450,25
136702084,9904,234,29529,2968
1788919128,2,29,2487,2
1857642308,222,48,12981,38
723861092,49,30,1110,15
490083078,920,55,3728,154
1593916528,74,35,1622,33
1885602469,14,19,231,7
1860570626,0,54,2721,0
293093246,888,64,4422,158
278033781,6107,300,15647,2641
50559857,73,22,105,7
1842981905,1761,87,3248,443
1878062382,257,42,2119,61
1861583621,2251,19,3771,240
1417008787,29,14,349,4
1884248971,265,59,2241,40
1753278152,258,20,1710701,22
1805159832,43,11,1763,3
1841366217,40,17,106,3
1843042359,1405,71,7409,113
1271484857,1150,14,762,3
1836422080,126,19,1144,24
252520937,107,20,71404,2
1833466610,308,35,2324,71
1590775848,25,23,1823,6
715186309,61,13,327,12
357129921,31,11,54,0
327283673,0,19,187,0
1408143206,115,17,639,23
695495226,135,23,632,40
692137639,250,21,986,51
576222461,2530,23,407,25
1824856986,47,12,803,11
332675965,0,10,51,0
975528716,492,75,3694,195
1754460160,76,16,578,20
1887606563,80,18,8587,16
1825053086,351,11,8009,37
418903730,2,10,153,0
1724373719,2,30,114,0
1436172473,103,12,2239,23
1797903522,1365,38,3131,132
1863784261,0,14,396,0
1876821740,144,15,2237,17
1260848431,1419,62,8497,157
1252247341,234,13,331,49
1569084648,1,14,143,0
1477640514,0,12,473,0
1875449004,10,10,312,0
1223903766,1374,31,6515,316
156913157,93,12,12,0
1395262218,13,12,5366,3
1863823913,775,51,677,62
1455414905,5723,193,29927,1813
1569767410,202,11,944,17
1836952405,64,23,4708,3
367862490,199,16,649,50
1258432641,477,12,1598,18
1829935768,456,16,699,46
129887099,14,30,2059,7
1873504428,94,20,12884,15
1878572291,26,19,254,5
1863838745,15,10,343,1
1890762594,29,20,776,0
1541155934,73,10,30,13
1539414096,67,42,57,3
785471131,1538,17,680,47
1831169414,2529,45,6938,446
1764696831,1121,22,39831,304
1750451099,52,29,8413,6
394991857,3476,64,5023,384
1794030664,879,49,108458,306
1829075699,124,10,1419,17
301054722,528,13,135,8
1832093937,291,10,65,8
228921263,0,66,752,0
666452261,9,13,95,0
1871095470,50,10,1045,2
1865575558,144,12,1437,4
1446304105,0,41,734,0
1263174310,36,12,1081,7
1867336751,79,11,86,30
1651567233,208,37,1726,36
1880087218,8,10,64,0
1887724457,0,10,605,0
1862859034,6,10,256,1
1824940753,6,16,279,0
234413770,0,13,147,0
1843137586,125,46,221,11
1837673799,213,36,899,21
922411746,370,10,1377,20
1824009707,5,11,2486,0
375214755,19,22,4363,1
1276773062,409,14,501,2
1858734327,374,15,1652,31
1850621089,36,10,75,3
1856862754,903,13,29914,152
1796281428,16,10,838,0
1766757029,824,21,1498,65
