author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,506,25
136702084,9904,234,31144,2968
1788919128,2,29,2605,2
1857642308,222,48,13383,38
723861092,49,30,1266,15
490083078,920,55,4094,154
1593916528,74,35,2158,33
1885602469,14,19,463,7
1860570626,0,54,2722,0
293093246,888,64,5333,158
278033781,6107,300,16276,2641
50559857,73,22,113,7
1842981905,1761,87,3250,443
1878062382,257,42,2139,61
1861583621,2251,19,4388,240
1417008787,29,14,387,4
1884248971,265,59,2295,40
1753278152,258,20,1808498,23
1805159832,43,11,2270,3
1841366217,40,17,117,3
1843042359,1405,71,8037,113
1271484857,1150,14,1117,3
1836422080,126,19,1451,24
252520937,107,20,72202,2
1833466610,308,35,3120,71
1590775848,25,23,2251,6
715186309,61,13,380,12
357129921,31,11,57,0
327283673,0,19,202,0
1408143206,115,17,651,23
695495226,135,23,636,40
692137639,250,21,1657,53
576222461,2530,23,407,25
1824856986,47,12,1058,11
332675965,0,10,51,0
975528716,492,75,5124,195
1754460160,76,16,609,20
1887606563,80,18,9283,16
1825053086,351,11,8782,37
418903730,2,10,172,0
1724373719,2,30,114,0
1436172473,103,12,2696,23
1797903522,1365,38,3165,132
1863784261,0,14,408,0
1876821740,144,15,3880,17
1260848431,1419,62,11977,157
1252247341,234,13,344,49
1569084648,1,14,146,0
1477640514,0,12,521,0
1875449004,10,10,560,0
