author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,20474,234
136702084,9904,234,483061,3953
1788919128,2,29,0,0
1857642308,222,48,413425,52
723861092,49,30,672068,19
490083078,920,55,746392,297
1593916528,74,35,44108,27
1885602469,14,19,1350,0
1860570626,0,54,0,0
293093246,888,64,228071,188
278033781,6107,300,499315,3660
50559857,73,22,41504,20
1842981905,1761,87,518666,580
1878062382,257,42,947257,60
1861583621,2251,19,100947,400
1417008787,29,14,53875,2
1884248971,265,59,250380,142
1753278152,258,20,113255,2
1805159832,43,11,29068,2
1841366217,40,17,11681,5
1843042359,1405,71,450308,318
1271484857,1150,14,17526,27
1836422080,126,19,171105,20
252520937,107,20,55825,19
1833466610,308,35,42239,69
1590775848,25,23,187396,3
715186309,61,13,40553,19
357129921,31,11,15707,7
327283673,0,19,0,0
1408143206,115,17,180658,44
695495226,135,23,26572,46
692137639,250,21,287766,30
576222461,2530,23,8330,30
1824856986,47,12,33531,7
332675965,0,10,0,0
975528716,492,75,346885,210
1754460160,76,16,38711,2
1887606563,80,18,197423,4
1825053086,351,11,226422,19
418903730,2,10,0,0
1724373719,2,30,478,0
1436172473,103,12,30154,24
1797903522,1365,38,105020,413
1863784261,0,14,13756,0
1876821740,144,15,170039,15
1260848431,1419,62,474204,265
1252247341,234,13,35106,89
1569084648,1,14,37002,0
1477640514,0,12,0,0
1875449004,10,10,14219,0
1223903766,1374,31,43047,388
156913157,93,12,3768,6
1395262218,13,12,89866,1
1863823913,775,51,128368,202
1455414905,5723,193,735344,2667
1569767410,202,11,24207,27
1836952405,64,23,113992,0
367862490,199,16,51586,97
1258432641,477,12,63861,39
1829935768,456,16,72885,143
129887099,14,30,0,0
1873504428,94,20,64157,2
1878572291,26,19,11427,10
1863838745,15,10,5941,2
1890762594,29,20,193787,1
1541155934,73,10,0,0
1539414096,67,42,30822,15
785471131,1538,17,18509,383
1831169414,2529,45,111472,566
1764696831,1121,22,116847,571
1750451099,52,29,403224,5
394991857,3476,64,115762,572
1794030664,879,49,872615,289
1829075699,124,10,136609,35
301054722,528,13,7373,52
1832093937,291,10,241075,12
228921263,0,66,0,0
666452261,9,13,0,0
1871095470,50,10,206257,1
1865575558,144,12,51116,3
1446304105,0,41,0,0
1263174310,36,12,135523,5
1867336751,79,11,16119,16
1651567233,208,37,279575,47
1880087218,8,10,0,0
1887724457,0,10,0,0
1862859034,6,10,0,0
1824940753,6,16,0,0
234413770,0,13,0,0
1843137586,125,46,894,7
1837673799,213,36,48062,52
922411746,370,10,142568,28
1824009707,5,11,3191,0
375214755,19,22,340,0
1276773062,409,14,57229,6
1858734327,374,15,63209,42
1850621089,36,10,4930,4
1856862754,903,13,283397,58
1796281428,16,10,12126,0
1766757029,824,21,113038,202
