author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,32378,234
136702084,9904,234,673194,3988
1788919128,2,29,0,0
1857642308,222,48,571290,52
723861092,49,30,903648,20
490083078,920,55,988807,300
1593916528,74,35,55369,27
1885602469,14,19,2696,0
1860570626,0,54,0,0
293093246,888,64,363974,188
278033781,6107,300,695362,3667
50559857,73,22,86679,21
1842981905,1761,87,620852,580
1878062382,257,42,983213,60
1861583621,2251,19,116772,403
1417008787,29,14,101453,2
1884248971,265,59,358348,142
1753278152,258,20,184037,2
1805159832,43,11,72013,2
1841366217,40,17,17645,5
1843042359,1405,71,550343,337
1271484857,1150,14,43874,27
1836422080,126,19,559352,20
252520937,107,20,98330,19
1833466610,308,35,73698,69
1590775848,25,23,541807,3
715186309,61,13,58478,19
357129921,31,11,19645,7
327283673,0,19,0,0
1408143206,115,17,228853,44
695495226,135,23,32271,46
692137639,250,21,802450,33
576222461,2530,23,9087,34
1824856986,47,12,52094,7
332675965,0,10,0,0
975528716,492,75,550858,210
1754460160,76,16,53254,2
1887606563,80,18,337835,4
1825053086,351,11,589400,20
418903730,2,10,0,0
1724373719,2,30,1802,0
1436172473,103,12,45422,24
1797903522,1365,38,130637,414
1863784261,0,14,17784,0
1876821740,144,15,258809,16
1260848431,1419,62,815656,266
1252247341,234,13,48114,94
1569084648,1,14,43325,0
1477640514,0,12,0,0
1875449004,10,10,66436,0
