author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,514199,235
1827493828,632,12,514199,235
1827493828,632,12,432006,227
136702084,9904,234,1538821,3462
1788919128,2,29,0,0
136702084,9904,234,1051781,3290
1788919128,2,29,0,0
1857642308,222,48,1050186,25
1857642308,222,48,918845,22
723861092,49,30,281915,5
723861092,49,30,281915,5
490083078,920,55,828198,249
490083078,920,55,587339,229
1593916528,74,35,173051,24
1593916528,74,35,325495,28
1885602469,14,19,73196,2
1860570626,0,54,0,0
1885602469,14,19,144034,2
1860570626,0,54,0,0
293093246,888,64,537607,330
293093246,888,64,738481,335
