num_inspected_publications,num_citations
0,0
22,3
191,5
242,16
472,25
1052,44
1573,51
1875,57
1994,59
2320,74
2517,76
2768,77
3072,77
3284,78
3462,83
3562,83
3672,83
3820,87
3950,87
3982,87
4255,98
4619,101
4746,104
4768,104
5281,116
5513,121
5607,121
5784,124
5854,124
6192,128
6206,128
6270,128
6363,128
6407,128
6882,132
6903,132
6927,132
7128,142
7351,143
7507,143
7703,143
8282,153
8504,154
8521,154
8678,155
8767,156
9093,159
9433,161
9870,161
9937,162
9946,162
10117,162
10187,162
10237,162
10432,166
10581,166
10636,166
10716,166
10881,167
10984,167
11148,167
11278,178
11436,182
11498,182
11581,182
11664,182
11700,182
11709,182
11899,182
12139,182
12148,182
12323,182
12837,187
13122,187
13136,187
13237,189
13338,189
13371,189
13379,189
13573,192
13587,192
13841,195
13848,195
13939,195
14275,195
14291,195
14311,195
14430,198
14506,198
14548,198
14592,198
14615,198
14646,198
14706,198
14772,199
14941,202
14962,202
15009,205
15106,205
15428,216
15589,217
15740,217
15849,219
15861,219
15875,219
16086,219
16094,219
16154,219
16160,219
16311,219
16418,225
16501,225
17336,225
17350,225
17416,225
17454,225
17467,225
17594,225
17636,225
17638,225
17659,225
17726,225
17797,225
17857,225
17916,225
18056,225
18098,225
18104,225
18165,225
18212,225
18373,225
18407,225
18417,225
18421,225
18427,227
18442,227
18514,227
18522,227
18540,227
18639,227
18652,227
18727,229
18745,229
18901,230
18930,230
19010,230
19168,230
19267,230
19330,231
19397,231
19510,232
19525,232
19528,232
19570,232
19581,232
19612,232
19640,232
19724,232
19728,232
19777,232
20062,239
20303,242
20322,242
20470,244
20734,245
20751,245
20801,245
20880,245
20943,245
21072,245
21097,245
21284,245
21345,248
21408,248
21531,248
21764,252
21818,253
21888,253
21901,253
21936,253
21939,253
21949,253
21952,253
21955,253
21995,253
22020,253
22094,253
22118,253
22126,253
22155,253
22185,256
22188,256
22209,256
22210,256
22215,256
22410,257
22432,257
22529,258
22579,258
22622,258
22623,258
22624,258
22632,258
22880,259
22885,259
22892,259
22900,259
22904,259
22980,259
23178,262
23322,262
23431,262
23474,262
23623,264
23735,264
23938,264
24210,264
24361,264
24382,264
24386,264
24428,264
24473,264
24579,264
24603,264
24646,264
24707,264
24710,264
24726,264
24765,264
24771,264
24775,265
24780,265
24793,265
24890,265
24944,265
24951,265
24957,265
25030,265
25088,265
25205,265
26776,265
26780,265
26817,266
26844,266
27023,269
27185,269
27341,269
27551,269
27554,269
27615,269
27767,269
27795,269
27798,269
27881,270
28019,270
28039,270
28190,272
28299,279
28500,279
28502,279
28519,279
28542,279
28661,279
28665,279
28818,283
28840,283
28848,283
28878,283
28924,283
28933,283
28936,283
28953,283
29009,285
29071,285
29072,285
29188,285
29304,285
29314,285
29319,285
29383,285
29429,285
29439,285
29446,285
29456,285
29477,285
29488,285
29489,285
29493,285
29517,285
29549,285
29553,285
29581,285
29618,285
29666,285
29675,285
29806,285
29811,285
29844,285
29945,285
29954,285
29955,285
29962,285
29968,285
29982,285
30110,286
30565,288
30582,288
30584,288
30587,288
30597,288
30608,288
30764,288
30774,288
30898,288
30967,288
31822,288
31827,288
31869,289
31925,289
31957,289
32038,289
32057,289
32220,290
32385,290
32386,290
32425,291
32452,291
32457,291
32474,291
32480,291
32550,291
32561,291
32563,291
32567,291
32570,291
32806,291
32830,291
32845,291
33117,291
33218,291
33340,291
33351,291
33406,291
33415,291
33594,291
33633,291
33773,295
33848,295
33851,295
33881,295
33912,295
34058,295
34072,295
34076,295
34078,295
34092,295
34098,295
34100,295
34241,295
34322,295
34343,295
34514,296
34589,296
34601,296
34605,296
34609,296
34668,297
34670,297
34682,297
34803,297
34805,297
34915,297
34924,297
35072,297
35113,297
35128,297
35163,297
35229,297
35382,297
35383,297
35412,297
35471,297
35500,297
35551,297
35596,297
35941,297
36044,297
36051,297
36055,297
36310,298
36344,298
