num_inspected_publications,num_citations
0,0
20,0
61,0
190,0
403,0
431,0
625,6
676,6
799,6
1059,6
1079,6
1257,6
1261,6
1274,6
1454,7
1640,7
1642,7
1683,9
1722,9
1724,9
1726,9
1804,9
1806,9
1831,9
1938,9
1965,9
1979,9
1982,9
1991,9
2174,9
2243,9
2246,9
2300,9
2318,9
2368,9
2371,9
2404,10
2414,10
2510,10
2551,10
2554,10
2556,10
2602,10
2608,10
2609,10
2625,10
2648,10
2692,10
2844,10
2857,10
2883,10
2884,10
2929,10
3021,10
3029,10
3063,10
3065,10
3118,10
3137,10
3146,10
3231,10
3240,10
3256,10
3257,10
3273,10
3275,10
3276,10
3639,10
3680,10
3721,10
3848,10
3849,10
3902,10
3905,10
3913,10
3915,10
3918,10
3920,10
3925,10
3940,10
4030,10
4031,10
4054,10
4149,10
4374,10
4377,10
4387,10
4393,10
4491,10
4519,10
4593,11
4664,11
4669,11
4670,11
4680,11
4773,11
4894,11
4940,11
4942,11
4962,11
4965,11
4998,11
5032,11
5033,11
5034,11
5044,11
5047,11
5060,11
5146,11
5147,11
5514,11
5522,11
5637,11
5645,11
5882,11
5935,11
5970,11
6116,11
6126,11
6129,11
6148,11
6209,11
6340,11
6351,11
6371,11
6375,11
6488,11
6524,11
6526,11
6527,11
6847,11
6926,11
7394,11
7418,11
7419,11
7453,12
7459,12
7655,12
7715,12
7720,12
7722,12
7774,12
7854,12
7858,12
7877,12
8127,14
8129,14
8133,14
8260,14
8262,14
8277,14
8329,14
8334,14
8361,14
8509,14
8513,14
8517,14
8540,14
8557,14
8591,14
8592,14
8713,14
8971,14
8974,14
9098,14
9233,14
9617,14
9668,14
9680,14
9697,14
9698,14
9770,14
9783,14
9815,14
9816,14
9818,14
9872,14
9885,14
10105,14
10124,14
10167,14
10181,14
10323,14
10327,14
10332,14
10528,14
10598,14
10599,14
10618,14
10625,14
10628,14
10666,14
10679,14
10917,14
10921,14
10930,14
10971,14
10993,14
11044,14
11079,14
11091,14
11501,14
11511,14
11515,14
11546,14
11551,14
11559,14
11719,14
11821,14
11837,14
12068,14
12102,14
12114,15
12213,15
12291,15
12751,15
12755,15
12851,15
12858,15
12884,15
