num_inspected_publications,num_citations
0,0
29,0
70,1
222,2
615,3
675,3
769,3
878,3
1164,3
1282,3
1337,3
1561,3
1661,3
1718,3
1776,3
1799,3
1814,3
1846,3
2929,3
2941,3
2996,3
3114,3
3279,3
3311,3
3345,3
3367,3
3440,3
3443,3
3450,3
3588,3
3667,3
3709,3
3984,3
3999,3
4009,3
4121,3
4169,3
4174,3
4181,3
4192,3
4280,3
4294,3
4526,3
4706,3
4847,3
4855,3
4947,3
4948,3
5102,3
5112,3
5149,3
5150,3
5160,3
5163,3
5197,3
5277,3
5278,3
5281,3
5285,3
5299,3
5373,3
5426,3
5628,3
5705,3
5708,3
5714,3
5804,3
5811,3
5845,3
6029,3
6221,3
6292,3
6296,3
6324,3
6348,3
6383,3
6423,3
6424,3
6431,3
6520,3
6524,3
6543,3
6546,3
6552,3
6559,3
6619,3
6964,4
7030,4
7065,4
7098,4
7263,4
7266,4
7269,4
7277,4
7296,4
7376,4
7379,4
7387,4
7388,4
7397,4
7399,4
7403,4
7404,4
7415,4
7449,4
7514,4
7747,6
7781,6
7785,6
7796,6
7806,6
8245,6
8246,6
8299,6
8369,6
8370,6
8433,6
