num_inspected_publications,num_citations
0,0
1,3
14,10
34,10
35,10
37,10
38,10
40,10
46,10
48,10
49,10
59,10
61,10
209,12
216,12
218,12
223,12
224,12
225,12
250,12
286,14
291,16
311,16
313,16
324,19
327,19
328,19
338,19
345,19
352,19
375,19
378,19
380,19
381,19
391,19
408,19
446,19
453,19
454,19
456,19
457,19
458,19
460,19
483,20
486,20
529,20
530,20
536,20
555,20
562,20
595,20
597,20
607,20
609,20
614,20
617,20
620,20
630,20
632,20
662,20
668,20
673,20
677,20
683,20
686,20
721,20
723,20
742,21
750,21
760,21
762,21
805,21
806,21
810,21
813,21
843,21
845,21
847,21
849,21
853,21
855,21
856,21
859,21
874,21
877,21
879,21
896,21
930,21
933,21
1116,21
