[2016-03-06 16:35:07,214: INFO/MainProcess] Received task: scholarly_citation_finder.api.citation.tasks.evaluation_run[711f4271-3672-4851-890f-7e1696c35322]
[2016-03-06 16:35:09,719: INFO/Worker-1] 1223903766 author: set 31 publications
[2016-03-06 16:35:14,631: INFO/Worker-1] found 172 author in the search set
[2016-03-06 16:35:14,631: INFO/Worker-1] authors: 172
[2016-03-06 16:49:05,242: INFO/Worker-1] 1223903766: finished strategy "author"
[2016-03-06 16:49:05,433: INFO/Worker-1] found 8 journals in search set
[2016-03-06 16:49:19,132: INFO/Worker-1] 1223903766: finished strategy "journal"
[2016-03-06 16:49:19,240: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 16:49:19,240: INFO/Worker-1] 1223903766: finished strategy "conference"
[2016-03-06 16:49:19,432: INFO/Worker-1] 156913157 author: set 12 publications
[2016-03-06 16:49:19,657: INFO/Worker-1] found 1 author in the search set
[2016-03-06 16:49:19,658: INFO/Worker-1] authors: 1
[2016-03-06 16:49:20,205: INFO/Worker-1] 156913157: finished strategy "author"
[2016-03-06 16:49:20,213: INFO/Worker-1] found 6 journals in search set
[2016-03-06 16:49:21,299: INFO/Worker-1] 156913157: finished strategy "journal"
[2016-03-06 16:49:21,311: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 16:49:21,311: INFO/Worker-1] 156913157: finished strategy "conference"
[2016-03-06 16:49:21,540: INFO/Worker-1] 1395262218 author: set 12 publications
[2016-03-06 16:49:22,705: INFO/Worker-1] found 43 author in the search set
[2016-03-06 16:49:22,706: INFO/Worker-1] authors: 43
[2016-03-06 16:51:53,912: INFO/Worker-1] 1395262218: finished strategy "author"
[2016-03-06 16:51:53,920: INFO/Worker-1] found 4 journals in search set
[2016-03-06 16:51:56,339: INFO/Worker-1] 1395262218: finished strategy "journal"
[2016-03-06 16:51:56,342: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 16:51:56,342: INFO/Worker-1] 1395262218: finished strategy "conference"
[2016-03-06 16:51:56,938: INFO/Worker-1] 1863823913 author: set 51 publications
[2016-03-06 16:51:59,471: INFO/Worker-1] found 70 author in the search set
[2016-03-06 16:51:59,471: INFO/Worker-1] authors: 70
[2016-03-06 16:52:49,900: INFO/Worker-1] 1863823913: finished strategy "author"
[2016-03-06 16:52:49,909: INFO/Worker-1] found 24 journals in search set
[2016-03-06 16:53:02,988: INFO/Worker-1] 1863823913: finished strategy "journal"
[2016-03-06 16:53:02,991: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 16:53:02,991: INFO/Worker-1] 1863823913: finished strategy "conference"
[2016-03-06 16:53:04,990: INFO/Worker-1] 1455414905 author: set 193 publications
[2016-03-06 16:53:28,976: INFO/Worker-1] found 873 author in the search set
[2016-03-06 16:53:28,976: INFO/Worker-1] authors: 873
[2016-03-06 17:55:41,017: INFO/Worker-1] 1455414905: finished strategy "author"
[2016-03-06 17:55:41,095: INFO/Worker-1] found 39 journals in search set
[2016-03-06 17:57:09,964: INFO/Worker-1] 1455414905: finished strategy "journal"
[2016-03-06 17:57:09,986: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 17:57:09,986: INFO/Worker-1] 1455414905: finished strategy "conference"
[2016-03-06 17:57:10,186: INFO/Worker-1] 1569767410 author: set 11 publications
[2016-03-06 17:57:11,562: INFO/Worker-1] found 46 author in the search set
[2016-03-06 17:57:11,562: INFO/Worker-1] authors: 46
[2016-03-06 17:58:18,751: INFO/Worker-1] 1569767410: finished strategy "author"
[2016-03-06 17:58:18,774: INFO/Worker-1] found 6 journals in search set
[2016-03-06 17:58:22,167: INFO/Worker-1] 1569767410: finished strategy "journal"
[2016-03-06 17:58:22,170: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 17:58:22,171: INFO/Worker-1] 1569767410: finished strategy "conference"
[2016-03-06 17:58:22,714: INFO/Worker-1] 1836952405 author: set 23 publications
[2016-03-06 17:58:25,767: INFO/Worker-1] found 90 author in the search set
[2016-03-06 17:58:25,767: INFO/Worker-1] authors: 90
[2016-03-06 18:00:51,118: INFO/Worker-1] 1836952405: finished strategy "author"
[2016-03-06 18:00:51,142: INFO/Worker-1] found 8 journals in search set
[2016-03-06 18:00:56,049: INFO/Worker-1] 1836952405: finished strategy "journal"
[2016-03-06 18:00:56,052: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:00:56,052: INFO/Worker-1] 1836952405: finished strategy "conference"
[2016-03-06 18:00:56,434: INFO/Worker-1] 367862490 author: set 16 publications
[2016-03-06 18:00:57,801: INFO/Worker-1] found 40 author in the search set
[2016-03-06 18:00:57,801: INFO/Worker-1] authors: 40
[2016-03-06 18:01:38,066: INFO/Worker-1] 367862490: finished strategy "author"
[2016-03-06 18:01:38,089: INFO/Worker-1] found 9 journals in search set
[2016-03-06 18:01:41,771: INFO/Worker-1] 367862490: finished strategy "journal"
[2016-03-06 18:01:41,773: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:01:41,773: INFO/Worker-1] 367862490: finished strategy "conference"
[2016-03-06 18:01:42,048: INFO/Worker-1] 1258432641 author: set 12 publications
[2016-03-06 18:01:43,436: INFO/Worker-1] found 42 author in the search set
[2016-03-06 18:01:43,436: INFO/Worker-1] authors: 42
[2016-03-06 18:05:03,934: INFO/Worker-1] 1258432641: finished strategy "author"
[2016-03-06 18:05:03,957: INFO/Worker-1] found 10 journals in search set
[2016-03-06 18:05:10,005: INFO/Worker-1] 1258432641: finished strategy "journal"
[2016-03-06 18:05:10,008: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:05:10,008: INFO/Worker-1] 1258432641: finished strategy "conference"
[2016-03-06 18:05:10,343: INFO/Worker-1] 1829935768 author: set 16 publications
[2016-03-06 18:05:12,081: INFO/Worker-1] found 54 author in the search set
[2016-03-06 18:05:12,081: INFO/Worker-1] authors: 54
[2016-03-06 18:06:49,477: INFO/Worker-1] 1829935768: finished strategy "author"
[2016-03-06 18:06:49,515: INFO/Worker-1] found 10 journals in search set
[2016-03-06 18:06:56,770: INFO/Worker-1] 1829935768: finished strategy "journal"
[2016-03-06 18:06:56,773: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:06:56,773: INFO/Worker-1] 1829935768: finished strategy "conference"
[2016-03-06 18:06:57,359: INFO/Worker-1] 129887099 author: set 30 publications
[2016-03-06 18:07:01,076: INFO/Worker-1] found 98 author in the search set
[2016-03-06 18:07:01,076: INFO/Worker-1] authors: 98
[2016-03-06 18:07:34,662: INFO/Worker-1] 129887099: finished strategy "author"
[2016-03-06 18:07:34,679: INFO/Worker-1] found 0 journals in search set
[2016-03-06 18:07:34,679: INFO/Worker-1] 129887099: finished strategy "journal"
[2016-03-06 18:07:34,681: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:07:34,681: INFO/Worker-1] 129887099: finished strategy "conference"
[2016-03-06 18:07:35,098: INFO/Worker-1] 1873504428 author: set 20 publications
