num_inspected_publications,num_citations
0,0
44537,654
59322,817
77483,1176
78672,1253
104385,1466
126132,1530
261985,1590
269517,1625
397541,1850
407180,1918
415037,1939
421874,1963
496635,2049
511620,2074
530806,2092
541646,2109
547191,2133
551746,2180
577387,2227
581379,2325
592304,2349
602921,2382
604934,2400
606237,2481
609194,2488
611678,2494
616265,2516
880320,2550
884906,2557
901383,2560
909133,2560
912985,2570
917575,2582
921156,2591
923055,2595
1132713,2640
1139867,2657
1142961,2677
1154474,2678
