num_inspected_publications,num_citations
0,0
7532,35
143385,95
147237,105
163714,108
170868,125
176413,149
177602,226
188442,243
195279,267
210064,430
214619,477
217103,483
221095,581
231712,614
249873,973
264858,998
272715,1019
284228,1020
286127,1024
293877,1024
304802,1048
307759,1055
317398,1123
581453,1157
625990,1811
651703,2024
670889,2042
672902,2060
677488,2067
805512,2292
810099,2314
1019757,2359
1045398,2406
1048979,2415
1123740,2501
1126834,2521
1128137,2602
1149884,2666
1154474,2678
