author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1223903766,1374,31,6515,316
156913157,93,12,12,0
1395262218,13,12,5366,3
1863823913,775,51,677,62
1455414905,5723,193,29927,1813
1569767410,202,11,944,17
1836952405,64,23,4708,3
367862490,199,16,649,50
1258432641,477,12,1598,18
1829935768,456,16,699,46
129887099,14,30,2059,7
1873504428,94,20,12884,15
1878572291,26,19,254,5
1863838745,15,10,343,1
1890762594,29,20,776,0
1541155934,73,10,30,13
1539414096,67,42,57,3
785471131,1538,17,680,47
1831169414,2529,45,6938,446
1764696831,1121,22,39831,304
1750451099,52,29,8413,6
394991857,3476,64,5023,384
1794030664,879,49,108458,306
1829075699,124,10,1419,17
301054722,528,13,135,8
1832093937,291,10,65,8
228921263,0,66,752,0
666452261,9,13,95,0
1871095470,50,10,1045,2
1865575558,144,12,1437,4
1446304105,0,41,734,0
1263174310,36,12,1081,7
1867336751,79,11,86,30
1651567233,208,37,1726,36
1880087218,8,10,64,0
1887724457,0,10,605,0
1862859034,6,10,256,1
1824940753,6,16,279,0
234413770,0,13,147,0
1843137586,125,46,221,11
1837673799,213,36,899,21
922411746,370,10,1377,20
1824009707,5,11,2486,0
375214755,19,22,4363,1
1276773062,409,14,501,2
1858734327,374,15,1652,31
1850621089,36,10,75,3
1856862754,903,13,29914,152
1796281428,16,10,838,0
1766757029,824,21,1498,65
