author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1223903766,1374,31,7935,318
156913157,93,12,12,0
1395262218,13,12,5706,3
1863823913,775,51,710,62
1455414905,5723,193,31831,1815
1569767410,202,11,1275,17
1836952405,64,23,4726,3
367862490,199,16,703,50
1258432641,477,12,1792,18
1829935768,456,16,848,46
129887099,14,30,2219,7
1873504428,94,20,13516,15
1878572291,26,19,354,5
1863838745,15,10,515,1
1890762594,29,20,778,0
1541155934,73,10,34,15
1539414096,67,42,58,3
785471131,1538,17,691,47
1831169414,2529,45,12792,457
1764696831,1121,22,48327,307
1750451099,52,29,8433,6
394991857,3476,64,5138,385
1794030664,879,49,108634,306
1829075699,124,10,2538,17
301054722,528,13,138,8
1832093937,291,10,85,8
228921263,0,66,784,0
666452261,9,13,103,0
1871095470,50,10,1048,2
1865575558,144,12,1969,4
1446304105,0,41,831,0
1263174310,36,12,1923,7
1867336751,79,11,92,30
1651567233,208,37,2160,36
1880087218,8,10,64,0
1887724457,0,10,625,0
1862859034,6,10,309,1
1824940753,6,16,381,0
234413770,0,13,154,0
1843137586,125,46,221,11
1837673799,213,36,1116,21
922411746,370,10,1481,20
1824009707,5,11,3485,0
375214755,19,22,4984,1
1276773062,409,14,570,2
1858734327,374,15,1837,31
1850621089,36,10,78,3
1856862754,903,13,32335,152
1796281428,16,10,851,0
1766757029,824,21,1796,65
