author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1223903766,1374,31,43047,388
156913157,93,12,3768,6
1395262218,13,12,89866,1
1863823913,775,51,128368,202
1455414905,5723,193,735344,2667
1569767410,202,11,24207,27
1836952405,64,23,113992,0
367862490,199,16,51586,97
1258432641,477,12,63861,39
1829935768,456,16,72885,143
129887099,14,30,0,0
1873504428,94,20,64157,2
1878572291,26,19,11427,10
1863838745,15,10,5941,2
1890762594,29,20,193787,1
1541155934,73,10,0,0
1539414096,67,42,30822,15
785471131,1538,17,18509,383
1831169414,2529,45,111472,566
1764696831,1121,22,116847,571
1750451099,52,29,403224,5
394991857,3476,64,115762,572
1794030664,879,49,872615,289
1829075699,124,10,136609,35
301054722,528,13,7373,52
1832093937,291,10,241075,12
228921263,0,66,0,0
666452261,9,13,0,0
1871095470,50,10,206257,1
1865575558,144,12,51116,3
1446304105,0,41,0,0
1263174310,36,12,135523,5
1867336751,79,11,16119,16
1651567233,208,37,279575,47
1880087218,8,10,0,0
1887724457,0,10,0,0
1862859034,6,10,0,0
1824940753,6,16,0,0
234413770,0,13,0,0
1843137586,125,46,894,7
1837673799,213,36,48062,52
922411746,370,10,142568,28
1824009707,5,11,3191,0
375214755,19,22,340,0
1276773062,409,14,57229,6
1858734327,374,15,63209,42
1850621089,36,10,4930,4
1856862754,903,13,283397,58
1796281428,16,10,12126,0
1766757029,824,21,113038,202
