author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1223903766,1374,31,68965,394
156913157,93,12,3794,6
1395262218,13,12,104760,1
1863823913,775,51,205850,207
1455414905,5723,193,1154474,2678
1569767410,202,11,74463,27
1836952405,64,23,192333,0
367862490,199,16,70191,97
1258432641,477,12,99297,40
1829935768,456,16,127743,143
129887099,14,30,0,0
1873504428,94,20,81290,2
1878572291,26,19,29130,10
1863838745,15,10,19306,2
1890762594,29,20,206165,1
1541155934,73,10,0,0
1539414096,67,42,42005,15
785471131,1538,17,19749,383
1831169414,2529,45,410495,608
1764696831,1121,22,233451,578
1750451099,52,29,410829,5
394991857,3476,64,157907,576
1794030664,879,49,896458,294
1829075699,124,10,169681,35
301054722,528,13,10904,52
1832093937,291,10,318599,12
228921263,0,66,0,0
666452261,9,13,0,0
1871095470,50,10,224560,1
1865575558,144,12,92679,3
1446304105,0,41,0,0
1263174310,36,12,429566,5
1867336751,79,11,58592,16
1651567233,208,37,453805,50
1880087218,8,10,0,0
1887724457,0,10,0,0
1862859034,6,10,0,0
1824940753,6,16,0,0
234413770,0,13,0,0
1843137586,125,46,897,7
1837673799,213,36,303758,52
922411746,370,10,197166,28
1824009707,5,11,5213,0
375214755,19,22,344,0
1276773062,409,14,86993,6
1858734327,374,15,94505,42
1850621089,36,10,5277,4
1856862754,903,13,535133,58
1796281428,16,10,16323,0
1766757029,824,21,204580,202
