num_inspected_publications,num_citations
0,0
21,23
48,25
63,33
71,33
145,40
164,41
169,42
180,43
193,46
227,46
394,47
477,53
480,53
484,53
486,53
490,53
495,53
507,53
509,53
511,53
513,53
522,53
526,53
527,53
528,53
550,53
553,53
607,53
617,53
638,53
639,53
640,53
661,54
671,55
684,55
685,55
686,55
688,55
689,55
690,55
691,55
698,55
736,55
743,55
833,55
879,55
886,55
912,55
926,55
934,55
947,55
970,55
971,55
1005,58
1006,58
1011,58
1071,63
1094,63
1098,63
1102,63
1107,63
1128,63
1129,63
1130,63
1150,63
1151,63
1164,63
1165,63
1166,63
1167,63
1265,65
1270,65
1271,65
1276,65
1283,65
1284,65
1289,65
1290,65
1309,65
1313,65
1314,65
1316,65
1347,65
1348,65
1352,65
1354,65
1364,65
1366,65
1465,65
1477,65
1491,65
1492,65
1493,65
1494,65
1496,65
1498,65
1517,65
1522,65
1528,65
1531,65
1561,65
1568,65
1674,83
1677,83
1682,83
1683,83
1699,83
1703,83
1728,86
1773,88
1777,88
1778,88
1802,89
1913,90
1916,90
1928,90
1929,90
1934,90
1935,90
1940,90
1944,90
1975,91
2013,92
2181,92
2182,92
2184,92
2214,93
2216,93
2241,93
2248,93
2250,93
2259,93
2276,93
2278,93
2291,93
2315,93
2327,93
2332,93
2660,94
2674,94
2679,94
2797,95
2798,95
2858,95
2891,95
2938,95
2989,95
3005,95
3049,95
3052,95
3053,95
3136,95
3147,95
3150,95
3164,95
3167,95
3176,95
3178,95
3248,95
3252,95
3259,96
3295,96
3306,96
3309,96
3332,96
3336,96
3345,96
3349,96
3355,96
3386,96
3391,96
3399,96
3461,98
3462,98
3521,99
3552,99
3739,99
3744,99
3748,99
3749,99
3751,99
3753,99
3766,99
3776,101
3777,101
3786,101
3790,101
3833,101
3835,101
3853,101
3905,101
3907,101
4013,101
4033,101
4303,101
4370,101
4371,101
4372,101
4373,101
4379,101
4387,101
4468,101
4472,101
4476,101
4487,102
4512,103
4519,103
4524,103
4542,103
4587,103
4689,103
4707,103
4720,103
4749,103
4757,103
4762,103
4810,103
4950,104
4959,104
4975,104
4982,104
5012,104
5017,104
5069,104
5073,104
5157,105
5199,105
5296,105
5327,105
5399,105
5418,106
5553,107
5819,107
5826,107
5827,107
5861,108
5876,108
5912,108
5913,108
5933,108
6242,110
6300,110
6330,110
6509,110
6513,110
6514,110
6535,110
6558,111
6685,111
6691,111
6714,111
6715,111
6717,111
6721,111
6733,111
6794,111
6796,111
6830,111
6930,112
6978,112
11258,139
16856,152
21359,206
38099,223
55500,252
60560,252
74896,258
80538,268
81467,268
82775,273
106740,282
108267,282
109035,282
124129,287
220538,287
220737,298
225348,306
229807,306
235760,311
244923,311
248543,320
251174,320
254005,328
255798,331
261287,331
265110,333
270277,353
275649,354
295136,356
296248,356
299494,358
307218,360
307959,362
310105,362
311865,362
316739,372
326745,373
334824,378
336486,379
339684,382
342329,382
