num_inspected_publications,num_citations
0,0
11,0
15,0
81,0
102,0
105,0
165,0
274,2
279,2
367,2
369,2
371,2
533,2
535,2
593,2
619,2
652,2
660,2
899,3
903,3
905,3
906,3
934,3
971,3
972,3
987,3
997,3
1001,3
1013,3
1015,3
1017,3
1030,3
1031,3
1313,3
1336,3
1379,3
1389,3
1390,3
1468,3
1580,3
1581,3
1652,3
1658,3
1662,3
1952,3
1955,3
1967,3
1970,3
2086,3
2093,3
2115,3
2122,3
2124,3
2234,3
2235,3
2245,3
2255,3
2259,3
2261,3
2262,3
2270,3
2316,3
2317,3
2369,3
2421,3
2642,5
2707,5
2781,5
2782,5
2830,5
2831,5
2850,5
2856,5
2866,5
2887,5
2894,5
3139,5
3160,5
3191,5
3558,5
3673,6
3677,6
