num_inspected_publications,num_citations
0,0
1,0
3,0
35,1
38,1
39,1
44,1
89,1
388,3
438,3
440,3
445,6
723,6
725,6
749,9
804,13
805,13
830,16
897,18
902,18
917,18
996,45
997,45
998,45
1210,55
1213,56
1275,57
1292,57
1293,57
1304,57
1310,57
1346,57
1372,57
1377,57
1463,58
1464,58
1486,58
1523,58
1531,58
1532,58
1548,58
1554,58
1559,58
1568,58
1572,59
1578,59
1591,59
1730,59
1749,59
1756,59
1758,59
1786,60
1787,60
1873,60
1915,61
1922,61
1948,61
1968,61
1989,61
2130,61
2139,61
