[2016-03-06 23:18:11,323: INFO/MainProcess] Received task: scholarly_citation_finder.api.citation.tasks.evaluation_run[e5d789e5-5dbe-45ab-b087-8b3791df8e3d]
[2016-03-06 23:18:12,248: INFO/Worker-2] 1223903766 author: set 31 publications
[2016-03-06 23:18:13,875: INFO/Worker-2] found 172 author in the search set
[2016-03-06 23:18:13,875: INFO/Worker-2] authors: 172
[2016-03-06 23:31:49,166: INFO/Worker-2] 1223903766: finished strategy "author-ordered"
[2016-03-06 23:31:49,213: INFO/Worker-2] found 172 author in the search set
[2016-03-06 23:31:49,213: INFO/Worker-2] authors: 172
[2016-03-06 23:31:51,952: INFO/Worker-2] 1223903766: finished strategy "author-ordered-minyear"
[2016-03-06 23:31:51,954: INFO/Worker-2] found 8 journals in search set
[2016-03-06 23:32:04,495: INFO/Worker-2] 1223903766: finished strategy "journal-ordered"
[2016-03-06 23:32:04,497: INFO/Worker-2] found 8 journals in search set
[2016-03-06 23:32:05,684: INFO/Worker-2] 1223903766: finished strategy "journal-ordered-minyear"
[2016-03-06 23:32:05,687: INFO/Worker-2] found 0 conferences in search set
[2016-03-06 23:32:05,687: INFO/Worker-2] 1223903766: finished strategy "conference-ordered"
[2016-03-06 23:32:05,688: INFO/Worker-2] found 0 conferences in search set
[2016-03-06 23:32:05,688: INFO/Worker-2] 1223903766: finished strategy "conference-ordered-minyear"
[2016-03-06 23:32:05,691: INFO/Worker-2] found 172 author in the search set
[2016-03-06 23:32:05,691: INFO/Worker-2] authors: 172
[2016-03-06 23:32:11,519: INFO/Worker-2] authors: 666
[2016-03-07 00:27:50,896: INFO/Worker-2] found 51 journals in search set
[2016-03-07 00:28:14,736: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:28:14,737: INFO/Worker-2] 1223903766: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 00:28:15,026: INFO/Worker-2] 156913157 author: set 12 publications
[2016-03-07 00:28:15,113: INFO/Worker-2] found 1 author in the search set
[2016-03-07 00:28:15,113: INFO/Worker-2] authors: 1
[2016-03-07 00:28:15,617: INFO/Worker-2] 156913157: finished strategy "author-ordered"
[2016-03-07 00:28:15,618: INFO/Worker-2] found 1 author in the search set
[2016-03-07 00:28:15,618: INFO/Worker-2] authors: 1
[2016-03-07 00:28:15,622: INFO/Worker-2] 156913157: finished strategy "author-ordered-minyear"
[2016-03-07 00:28:15,623: INFO/Worker-2] found 6 journals in search set
[2016-03-07 00:28:16,668: INFO/Worker-2] 156913157: finished strategy "journal-ordered"
[2016-03-07 00:28:16,678: INFO/Worker-2] found 6 journals in search set
[2016-03-07 00:28:16,756: INFO/Worker-2] 156913157: finished strategy "journal-ordered-minyear"
[2016-03-07 00:28:16,756: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:28:16,757: INFO/Worker-2] 156913157: finished strategy "conference-ordered"
[2016-03-07 00:28:16,757: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:28:16,758: INFO/Worker-2] 156913157: finished strategy "conference-ordered-minyear"
[2016-03-07 00:28:16,758: INFO/Worker-2] found 1 author in the search set
[2016-03-07 00:28:16,758: INFO/Worker-2] authors: 1
[2016-03-07 00:28:16,763: INFO/Worker-2] authors: 0
[2016-03-07 00:28:16,763: INFO/Worker-2] found 6 journals in search set
[2016-03-07 00:28:16,841: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:28:16,841: INFO/Worker-2] 156913157: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 00:28:17,085: INFO/Worker-2] 1395262218 author: set 12 publications
[2016-03-07 00:28:17,377: INFO/Worker-2] found 43 author in the search set
[2016-03-07 00:28:17,377: INFO/Worker-2] authors: 43
[2016-03-07 00:30:45,977: INFO/Worker-2] 1395262218: finished strategy "author-ordered"
[2016-03-07 00:30:45,978: INFO/Worker-2] found 43 author in the search set
[2016-03-07 00:30:45,978: INFO/Worker-2] authors: 43
[2016-03-07 00:30:46,386: INFO/Worker-2] 1395262218: finished strategy "author-ordered-minyear"
[2016-03-07 00:30:46,387: INFO/Worker-2] found 4 journals in search set
[2016-03-07 00:30:48,768: INFO/Worker-2] 1395262218: finished strategy "journal-ordered"
[2016-03-07 00:30:48,769: INFO/Worker-2] found 4 journals in search set
[2016-03-07 00:30:50,333: INFO/Worker-2] 1395262218: finished strategy "journal-ordered-minyear"
[2016-03-07 00:30:50,334: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:30:50,334: INFO/Worker-2] 1395262218: finished strategy "conference-ordered"
[2016-03-07 00:30:50,334: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:30:50,334: INFO/Worker-2] 1395262218: finished strategy "conference-ordered-minyear"
[2016-03-07 00:30:50,335: INFO/Worker-2] found 43 author in the search set
[2016-03-07 00:30:50,336: INFO/Worker-2] authors: 43
[2016-03-07 00:30:50,732: INFO/Worker-2] authors: 0
[2016-03-07 00:30:50,733: INFO/Worker-2] found 6 journals in search set
[2016-03-07 00:30:53,621: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:30:53,621: INFO/Worker-2] 1395262218: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 00:30:54,505: INFO/Worker-2] 1863823913 author: set 51 publications
[2016-03-07 00:30:55,721: INFO/Worker-2] found 70 author in the search set
[2016-03-07 00:30:55,721: INFO/Worker-2] authors: 70
[2016-03-07 00:31:45,927: INFO/Worker-2] 1863823913: finished strategy "author-ordered"
[2016-03-07 00:31:45,929: INFO/Worker-2] found 70 author in the search set
[2016-03-07 00:31:45,929: INFO/Worker-2] authors: 70
[2016-03-07 00:31:46,293: INFO/Worker-2] 1863823913: finished strategy "author-ordered-minyear"
[2016-03-07 00:31:46,294: INFO/Worker-2] found 24 journals in search set
[2016-03-07 00:31:59,262: INFO/Worker-2] 1863823913: finished strategy "journal-ordered"
[2016-03-07 00:31:59,264: INFO/Worker-2] found 24 journals in search set
[2016-03-07 00:32:01,737: INFO/Worker-2] 1863823913: finished strategy "journal-ordered-minyear"
[2016-03-07 00:32:01,738: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:32:01,738: INFO/Worker-2] 1863823913: finished strategy "conference-ordered"
