num_inspected_publications,num_citations
0,0
60347,305
66898,745
81748,931
100988,1212
102194,1388
113905,1389
119017,1637
132987,1730
142216,1908
150633,2168
160304,2168
177061,2339
190774,2448
192972,2604
199116,2669
207794,2925
208901,2963
210118,2968
219906,3005
256307,3187
258134,3190
265824,3237
276153,3239
284082,3259
294933,3278
298889,3300
311917,3310
322533,3312
323721,3380
326168,3380
326983,3471
332196,3529
333457,3533
336228,3592
346167,3607
347528,3615
347840,3677
367646,3720
372103,3745
372539,3745
375776,3749
381194,3751
383801,3791
405188,3840
406094,3899
412800,3899
414906,3927
416630,3927
423262,3937
483061,3953
