num_inspected_publications,num_citations
0,0
9383,25
114088,28
114650,39
117190,50
118083,56
125345,58
130328,61
141297,74
145709,78
148285,88
160927,91
163234,100
174863,107
176515,109
180447,114
182007,114
187757,123
220163,125
230604,125
235264,125
239734,126
244324,128
245905,131
247152,132
375176,148
383950,148
388578,150
393374,151
400245,152
422960,152
441230,155
443276,165
454936,165
457094,167
488739,170
517849,179
522324,189
535918,192
540663,193
544492,193
547294,199
549505,206
550858,210
