num_inspected_publications,num_citations
0,0
2158,2
10932,2
24526,5
26086,5
30882,6
33189,15
42572,40
65287,40
169992,43
174975,46
176627,48
179429,54
181475,64
191916,64
192809,70
195349,81
196930,84
200759,84
208021,86
213771,95
218241,96
222986,97
254631,100
258563,105
269532,118
298642,127
303054,131
304301,132
336707,134
338060,138
349689,145
367959,148
379619,148
381830,155
386305,165
398947,168
405818,169
410478,169
538502,185
541078,195
545706,197
546268,208
550858,210
