author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,665,36
136702084,9904,234,163189,4573
1788919128,2,29,2807,2
1857642308,222,48,20172,41
723861092,49,30,2730,15
490083078,920,55,9692,176
1593916528,74,35,3244,38
1885602469,14,19,558,7
1860570626,0,54,2722,0
293093246,888,64,18056,203
278033781,6107,300,51509,3159
50559857,73,22,113,7
1842981905,1761,87,6610,456
1878062382,257,42,3748,79
1861583621,2251,19,24224,385
1417008787,29,14,434,5
1884248971,265,59,10867,89
1753278152,258,20,2496741,31
1805159832,43,11,3677,6
1841366217,40,17,143,6
1843042359,1405,71,14473,150
1271484857,1150,14,1456,3
1836422080,126,19,2564,24
252520937,107,20,111258,2
1833466610,308,35,4199,84
1590775848,25,23,3257,9
715186309,61,13,656,14
357129921,31,11,57,0
327283673,0,19,202,0
1408143206,115,17,1487,23
695495226,135,23,1219,43
692137639,250,21,5110,73
576222461,2530,23,470,29
1824856986,47,12,1884,13
332675965,0,10,51,0
975528716,492,75,8045,199
1754460160,76,16,1721,26
1887606563,80,18,12458,19
1825053086,351,11,15853,59
418903730,2,10,172,0
1724373719,2,30,114,0
1436172473,103,12,3744,26
1797903522,1365,38,7672,173
1863784261,0,14,408,0
1876821740,144,15,6283,17
1260848431,1419,62,37556,207
1252247341,234,13,666,60
1569084648,1,14,146,0
1477640514,0,12,521,0
1875449004,10,10,560,0
