author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,506,25
136702084,9904,234,31144,2968
1788919128,2,29,2605,2
1857642308,222,48,13383,38
723861092,49,30,1266,15
490083078,920,55,4094,154
1593916528,74,35,2158,33
1885602469,14,19,463,7
1860570626,0,54,2722,0
293093246,888,64,5333,158
278033781,6107,300,16276,2641
50559857,73,22,113,7
1842981905,1761,87,3250,443
1878062382,257,42,2139,61
1861583621,2251,19,4388,240
1417008787,29,14,387,4
1884248971,265,59,2295,40
1753278152,258,20,1808498,23
1805159832,43,11,2270,3
1841366217,40,17,117,3
1843042359,1405,71,8037,113
1271484857,1150,14,1117,3
1836422080,126,19,1451,24
252520937,107,20,72202,2
1833466610,308,35,3120,71
1590775848,25,23,2251,6
715186309,61,13,380,12
357129921,31,11,57,0
327283673,0,19,202,0
1408143206,115,17,651,23
695495226,135,23,636,40
692137639,250,21,1657,53
576222461,2530,23,407,25
1824856986,47,12,1058,11
332675965,0,10,51,0
975528716,492,75,5124,195
1754460160,76,16,609,20
1887606563,80,18,9283,16
1825053086,351,11,8782,37
418903730,2,10,172,0
1724373719,2,30,114,0
1436172473,103,12,2696,23
1797903522,1365,38,3165,132
1863784261,0,14,408,0
1876821740,144,15,3880,17
1260848431,1419,62,11977,157
1252247341,234,13,344,49
1569084648,1,14,146,0
1477640514,0,12,521,0
1875449004,10,10,560,0
1223903766,1374,31,7935,318
156913157,93,12,12,0
1395262218,13,12,5706,3
1863823913,775,51,710,62
1455414905,5723,193,31831,1815
1569767410,202,11,1275,17
1836952405,64,23,4726,3
367862490,199,16,703,50
1258432641,477,12,1792,18
1829935768,456,16,848,46
129887099,14,30,2219,7
1873504428,94,20,13516,15
1878572291,26,19,354,5
1863838745,15,10,515,1
1890762594,29,20,778,0
1541155934,73,10,34,15
1539414096,67,42,58,3
785471131,1538,17,691,47
1831169414,2529,45,12792,457
1764696831,1121,22,48327,307
1750451099,52,29,8433,6
394991857,3476,64,5138,385
1794030664,879,49,108634,306
1829075699,124,10,2538,17
301054722,528,13,138,8
1832093937,291,10,85,8
228921263,0,66,784,0
666452261,9,13,103,0
1871095470,50,10,1048,2
1865575558,144,12,1969,4
1446304105,0,41,831,0
1263174310,36,12,1923,7
1867336751,79,11,92,30
1651567233,208,37,2160,36
1880087218,8,10,64,0
1887724457,0,10,625,0
1862859034,6,10,309,1
1824940753,6,16,381,0
234413770,0,13,154,0
1843137586,125,46,221,11
1837673799,213,36,1116,21
922411746,370,10,1481,20
1824009707,5,11,3485,0
375214755,19,22,4984,1
1276773062,409,14,570,2
1858734327,374,15,1837,31
1850621089,36,10,78,3
1856862754,903,13,32335,152
1796281428,16,10,851,0
1766757029,824,21,1796,65
