author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,638450,245
136702084,9904,234,1538821,3462
1788919128,2,29,0,0
1857642308,222,48,1050186,25
723861092,49,30,281915,5
490083078,920,55,816227,238
1593916528,74,35,325495,28
1885602469,14,19,126118,2
1860570626,0,54,0,0
293093246,888,64,755164,338
278033781,6107,300,1458983,2052
50559857,73,22,374047,23
1842981905,1761,87,1214960,527
1878062382,257,42,1221281,117
1861583621,2251,19,453565,1161
1417008787,29,14,0,0
1884248971,265,59,530251,82
1753278152,258,20,350721,6
1805159832,43,11,54489,6
1841366217,40,17,420754,2
1843042359,1405,71,1356340,169
1271484857,1150,14,617986,367
1836422080,126,19,15544,0
252520937,107,20,528871,34
1833466610,308,35,522652,79
