author_id,num_citations,num_publications
1877386821,50,15
1860995961,50,11
1821321628,415,31
706196599,53,17
140249449,109,10
1876401739,217,11
698475198,6,29
1848315811,206,14
1843765026,0,18
1840463614,0,10
355582075,17,11
1834065430,2073,51
740908798,49,10
1591079250,89,39
1877796735,534,11
1844572664,89,13
1244529712,15,15
1839629498,386,17
1876844881,1351,47
1831443331,74,12
87849436,0,54
1500768921,2,10
1199492200,136,12
1820520423,267,22
1826250119,16,14
1883840548,1467,53
1884052293,1,11
1881673204,0,10
695382872,42,15
1359021433,2,21
1882297106,52,19
1426051659,1,11
1832578134,25,11
1868051887,999,29
1883666919,12,17
1876134147,170,15
1668710143,553,62
1841966403,0,13
1850064359,0,15
218813344,5,18
1827268421,26,17
1791893436,217,11
1813065232,14,10
1853681395,483,25
1740478832,1655,167
1752454663,221,13
42444331,671,27
1853694655,364,100
1758254620,369,19
1890908803,17,20
726524987,136,57
1876033483,1172,185
1824577656,78,10
1820520474,8,10
1824564211,52,18
1810858311,10,10
240442316,1010,311
1763756321,103,12
1854874874,341,23
1754214091,30,10
707459237,69,16
1876354319,0,10
1879459214,44,21
1838147678,198,15
1724847154,555,18
1797024914,55,10
1628578454,25,30
1512310605,6,16
1163721806,41,16
345424580,1,17
1885741285,0,13
1862128523,0,81
1844224627,0,10
1858707601,94,18
870935749,6,10
841059078,495,14
1880290223,53,17
1783923587,357,45
1377031727,265,44
1426575747,544,43
1260173622,190,25
1883179338,490,15
226121741,100,29
107646776,101,49
1786053977,33,75
1796904791,67,18
1886210323,0,19
1819496035,36,21
1850220227,228,10
1812196039,20,12
729914731,405,115
1862964124,359,11
1841249122,7309,10
1852372376,146,12
1850091214,727,37
1760030916,641,48
1889495802,43,68
317724600,4,31
1431353867,7,10
1881400963,95,11
