fieldofstudy_id,count  
50644808,1819
58328972,951
8880873,864
12267149,687
124101348,676
107327155,366
119857082,351
20162079,331
42011625,326
154945302,321
58166,320
148483581,303
4554734,302
73555534,289
151406439,282
122308676,277
84525736,275
115925183,261
48702757,257
193524817,244
149271511,237
85617194,236
52622490,235
186311912,224
126255220,216
22088475,198
557471498,193
111012933,182
56739046,182
41550386,176
79403827,174
87345402,163
129361004,163
178980831,162
45804977,157
25810664,151
168773769,142
155032097,142
27438332,141
195975749,140
151956035,136
78597825,126
108713360,124
1883856,117
159149176,116
186108316,115
207968372,115
179717631,114
33724603,113
23123220,112
113238511,111
120936955,107
68781425,104
161301231,104
71472368,102
5263885,102
180198813,98
74072328,97
126980161,96
55416958,95
120567893,95
40128228,93
35578498,91
76969082,90
27181475,89
20701700,87
207685749,86
64399264,86
152877465,86
83665646,85
44104985,84
500300565,83
127011070,83
105902424,82
98825075,81
21569690,81
137836250,79
54355233,79
196216189,78
58546491,75
121017731,74
111168008,72
44154836,71
2129575,70
113200698,70
47116090,67
187123476,67
534262118,67
19351080,67
29470771,66
41045048,66
191511416,65
46286280,65
176459437,65
74750220,65
69738355,64
133462117,64
17212007,63
17500928,63
51566761,63
